SN,Pred_CO2,Pred_Visc
XVS025,0.691,1.496
EC33,0.093,1.457
EC30,0.037,1.424
XVS063,-0.190,1.317
XVS035,0.114,1.608
EC28,0.272,1.707
XVS064,-0.263,1.384
XVS075,0.000,1.585
XVS076,-0.014,1.675
XVS065,-0.336,1.451
XVS068,-0.209,1.598
EC29,0.232,1.855
XVS177,-0.716,1.181
EV35,-0.473,1.460
XVS045,-0.366,1.592
XVS027,0.244,1.954
XVS077,-0.037,1.826
XVS191,-0.831,1.192
XVS069,-0.245,1.754
XVS070,-0.288,1.741
XVS019,-0.478,1.643
XVS046,-0.830,1.297
XVS190,-0.778,1.407
XVS199,-0.816,1.375
XVS207,-0.164,1.909
XVS047,-0.792,1.503
EC31,-0.806,1.503
EV17,-0.806,1.503
XVS180,-1.019,1.247
XVS071,-0.366,1.884
XVS184,-0.667,1.676
XVS015,0.091,2.126
XVS195,-1.107,1.174
XVS189,-0.708,1.689
XVS055,-1.035,1.312
XVS179,-0.935,1.453
EV04,-0.291,1.988
EC26,-0.780,1.664
EV15,-0.780,1.664
XVS198,-0.753,1.709
XVS187,-1.004,1.429
EV48,-1.158,1.272
XVS178,-0.826,1.723
EV38,-1.231,1.157
XVS188,-0.639,1.906
XVS080,-0.523,1.987
EV31,-0.655,1.925
XVS079,-0.541,2.019
EV02,-0.821,1.819
XVS140,-0.509,2.041
EV47,-1.201,1.345
EV33,-1.229,1.312
XVS186,-0.911,1.755
XVS086,-0.622,1.995
EV28,-1.229,1.332
EC04,-1.008,1.665
EV14,-0.737,1.922
EV09,-1.059,1.616
EC27,-0.735,1.933
EV65,-1.295,1.229
XVS183,-1.295,1.228
XVS078,-0.558,2.051
XVS083,-0.611,2.026
XVS139,-0.525,2.079
XVS194,-1.234,1.377
EV42,-1.290,1.270
XVS143,-0.531,2.090
XVS085,-0.648,2.024
XVS043,-0.195,2.258
XVS067,-0.704,2.011
XVS082,-0.636,2.059
XVS137,-0.612,2.074
XVS138,-0.541,2.118
EV43,-1.227,1.481
XVS084,-0.675,2.053
XVS142,-0.548,2.130
EC05,-1.133,1.634
EV64,-1.332,1.301
EV37,-1.289,1.416
EV16,-0.978,1.845
XVS081,-0.662,2.092
EV32,-1.289,1.436
EV46,-1.273,1.467
EV69,-0.411,2.235
XVS118,-0.228,2.309
XVS141,-0.565,2.170
XVS147,-1.172,1.657
XVS110,-0.848,2.004
EC06,-1.216,1.613
EV41,-1.349,1.382
EC19,-1.491,1.037
XVS197,-0.672,2.146
EC32,-1.036,1.884
XVS135,-0.675,2.167
EV45,-1.286,1.577
XVS145,-1.317,1.541
XVS204,-1.389,1.401
XVS115,-1.277,1.615
XVS136,-0.642,2.203
XVS034,-0.401,2.318
XVS182,-1.391,1.423
XVS074,-0.762,2.149
EV36,-1.348,1.520
EV30,-1.348,1.539
XVS006,-0.396,2.338
EC18,-1.526,1.127
XVS185,-0.789,2.165
EC14,-1.354,1.560
EV21,-0.717,2.210
XVS048,-1.115,1.910
XVS042,-1.029,2.009
EV40,-1.408,1.494
EV20,-0.855,2.150
XVS003,-0.884,2.141
XVS037,-1.072,2.005
EV44,-1.345,1.672
EV08,-1.237,1.854
XVS116,-1.316,1.754
XVS057,-0.781,2.251
XVS049,-1.038,2.081
EV34,-1.407,1.624
XVS193,-1.400,1.644
EV13,-0.989,2.137
EV29,-1.407,1.642
EC13,-1.417,1.669
EC17,-1.578,1.263
XVS167,-0.614,2.377
XVS058,-1.454,1.616
XVS052,-1.358,1.797
XVS196,-0.590,2.401
EV39,-1.468,1.607
EC16,-1.385,1.789
XVS030,-0.177,2.536
EC11,-1.431,1.726
XVS153,-1.303,1.936
EV24,-0.814,2.332
XVS146,-1.432,1.736
EV71,-0.562,2.438
XVS154,-1.386,1.829
EV67,-1.436,1.775
XVS026,-1.022,2.248
EC15,-1.424,1.849
XVS181,-1.517,1.678
XVS044,0.131,2.642
XVS053,-1.394,1.930
EV66,-1.468,1.828
XVS031,-1.309,2.066
EC12,-1.464,1.863
EC10,-1.489,1.824
XVS203,-1.546,1.708
XVS192,-1.565,1.663
XVS100,-1.611,1.540
EV50,-1.132,2.270
EV19,-1.038,2.353
XVS002,-1.096,2.319
XVS200,-1.517,1.843
EC22,-0.931,2.431
EV03,-1.482,1.940
XVS101,-1.637,1.601
XVS073,-0.211,2.663
XVS089,-0.941,2.462
EV55,-1.197,2.324
XVS016,-0.036,2.702
XVS001,-1.296,2.273
XVS102,-1.663,1.662
XVS038,-0.645,2.595
XVS036,-0.607,2.614
XVS090,-0.909,2.522
XVS093,-1.437,2.163
EV11,-1.372,2.242
EV18,-0.951,2.533
XVS150,-1.581,1.982
XVS051,-0.461,2.674
EV54,-1.261,2.377
EV68,-0.712,2.635
XVS056,-1.151,2.477
XVS041,-0.735,2.641
XVS088,-1.167,2.483
XVS021,-1.706,1.764
XVS029,-1.486,2.219
EV57,-1.576,2.084
XVS117,-1.458,2.265
XVS087,-0.858,2.619
XVS072,-1.498,2.262
EV10,-1.163,2.526
